FileName_OrigASC_Nothing,PathName_OrigASC_Nothing,FileName_OrigASC_Spillover,PathName_OrigASC_Spillover,FileName_OrigDNA,PathName_OrigDNA,FileName_OrigMito,PathName_OrigMito,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_AbsPositionZ,Metadata_AbsTime,Metadata_BinningX,Metadata_BinningY,Metadata_ChannelID,Metadata_ChannelName,Metadata_Col,Metadata_ExposureTime,Metadata_FieldID,Metadata_ImageResolutionX,Metadata_ImageResolutionY,Metadata_ImageSizeX,Metadata_ImageSizeY,Metadata_MainEmissionWavelength,Metadata_MainExcitationWavelength,Metadata_MaxIntensity,Metadata_ObjectiveMagnification,Metadata_ObjectiveNA,Metadata_PlaneID,Metadata_PositionX,Metadata_PositionY,Metadata_PositionZ,Metadata_Row
r09c05f03p03-ch2sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f03p03-ch4sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f03p03-ch1sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f03p03-ch3sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,70117_20230118MM1_Ab Test_ASC,I05,3,0.135384604,2023-01-27T13:51:37.993+01:00,1,1,3,Mito_641_narrow,5,0.02,3,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,680,630,65535,20,1,3,0,0.000645814,0,9
r09c05f03p04-ch2sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f03p04-ch4sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f03p04-ch1sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f03p04-ch3sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,70117_20230118MM1_Ab Test_ASC,I05,3,0.13538709299999999,2023-01-27T13:51:38.883+01:00,1,1,3,Mito_641_narrow,5,0.02,3,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,680,630,65535,20,1,4,0,0.000645814,2.5E-06,9
r09c05f04p01-ch2sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f04p01-ch4sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f04p01-ch1sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f04p01-ch3sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,70117_20230118MM1_Ab Test_ASC,I05,4,0.135377407,2023-01-27T13:51:40.567+01:00,1,1,3,Mito_641_narrow,5,0.02,4,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,680,630,65535,20,1,1,0.000645814,0.000645814,-5E-06,9
r09c05f04p02-ch2sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f04p02-ch4sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f04p02-ch1sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f04p02-ch3sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,70117_20230118MM1_Ab Test_ASC,I05,4,0.135379896,2023-01-27T13:51:41.457+01:00,1,1,3,Mito_641_narrow,5,0.02,4,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,680,630,65535,20,1,2,0.000645814,0.000645814,-2.5E-06,9
r09c05f04p03-ch2sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f04p03-ch4sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f04p03-ch1sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f04p03-ch3sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,70117_20230118MM1_Ab Test_ASC,I05,4,0.135382399,2023-01-27T13:51:42.33+01:00,1,1,3,Mito_641_narrow,5,0.02,4,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,680,630,65535,20,1,3,0.000645814,0.000645814,0,9
r09c05f04p04-ch2sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f04p04-ch4sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f04p04-ch1sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f04p04-ch3sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,70117_20230118MM1_Ab Test_ASC,I05,4,0.135384902,2023-01-27T13:51:43.203+01:00,1,1,3,Mito_641_narrow,5,0.02,4,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,680,630,65535,20,1,4,0.000645814,0.000645814,2.5E-06,9
r09c05f05p01-ch2sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f05p01-ch4sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f05p01-ch1sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f05p01-ch3sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,70117_20230118MM1_Ab Test_ASC,I05,5,0.135378107,2023-01-27T13:51:44.497+01:00,1,1,3,Mito_641_narrow,5,0.02,5,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,680,630,65535,20,1,1,0.000645814,0,-5E-06,9
r09c05f05p02-ch2sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f05p02-ch4sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f05p02-ch1sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f05p02-ch3sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,70117_20230118MM1_Ab Test_ASC,I05,5,0.135380596,2023-01-27T13:51:45.373+01:00,1,1,3,Mito_641_narrow,5,0.02,5,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,680,630,65535,20,1,2,0.000645814,0,-2.5E-06,9
r09c05f05p03-ch2sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f05p03-ch4sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f05p03-ch1sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f05p03-ch3sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,70117_20230118MM1_Ab Test_ASC,I05,5,0.135383099,2023-01-27T13:51:46.247+01:00,1,1,3,Mito_641_narrow,5,0.02,5,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,680,630,65535,20,1,3,0.000645814,0,0,9
r09c05f05p04-ch2sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f05p04-ch4sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f05p04-ch1sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,r09c05f05p04-ch3sk1fk1fl1.tiff,/home/jenna/Interstellar_Project/1.wave2_data/0.download_data/70117_20230118MM1_AbTest_ASC__2023-01-27T13_47_00-Measurement1/Images,70117_20230118MM1_Ab Test_ASC,I05,5,0.135385603,2023-01-27T13:51:47.12+01:00,1,1,3,Mito_641_narrow,5,0.02,5,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,680,630,65535,20,1,4,0.000645814,0,2.5E-06,9
